;Year;Month;Day;Name;CountTrades(K);OpenPrice;LowPrice;HighPrice;ClosePrice;WAPrice;VOLUMERUB
17;Год: 2021;Месяц: 3;День: 26;Доллар США-российский рубль__CETS;57.736;76,0475;75,595;76,2;75,655;75,8743;237292988157.5
5;Год: 2021;Месяц: 3;День: 23;Евро-российский рубль__CETS;11.116;89,425;89,425;90,78;90,465;90,1586;39222697612.5
9;Год: 2021;Месяц: 3;День: 24;Евро-российский рубль__CETS;9.624;90,4225;89,6175;91,1925;90,425;90,1229;47160212000.0
13;Год: 2021;Месяц: 3;День: 25;Евро-российский рубль__CETS;8.137;90,425;89,49;90,4575;89,705;89,8785;34296632615.0
17;Год: 2021;Месяц: 3;День: 26;Евро-российский рубль__CETS;5.93;89,675;89,07;89,75;89,24;89,4426;22857596180.0
0;Год: 2021;Месяц: 3;День: 29;Юань-российский рубль__CETS;0.313;11,582;11,5059;11,5947;11,516;11,5616;484648739.3
3;Год: 2021;Месяц: 3;День: 30;Юань-российский рубль__CETS;0.425;11,504;11,4725;11,5748;11,5326;11,5295;3615855417.2
6;Год: 2021;Месяц: 3;День: 31;Юань-российский рубль__CETS;0.334;11,55;11,4721;11,5589;11,54;11,5303;967841155.1
9;Год: 2021;Месяц: 4;День: 1;Юань-российский рубль__CETS;0.35;11,5235;11,4966;11,63;11,606;11,5484;666664263.7
1;Год: 2021;Месяц: 3;День: 29;Доллар США-российский рубль__CETS;44.792;75,72;75,5525;76,115;75,68;75,8845;174056709807.5
5;Год: 2021;Месяц: 3;День: 30;Доллар США-российский рубль__CETS;52.335;75,575;75,39;76,19;75,85;75,8712;229456914060.0
9;Год: 2021;Месяц: 3;День: 31;Доллар США-российский рубль__CETS;57.369;75,85;75,22;76,01;75,69;75,5202;224705554357.5
13;Год: 2021;Месяц: 4;День: 1;Доллар США-российский рубль__CETS;61.569;75,69;75,5675;76,44;76,2575;76,0737;225608904870.0
1;Год: 2021;Месяц: 3;День: 29;Евро-российский рубль__CETS;6.373;89,5925;88,9325;89,615;89,02;89,3448;25834490602.5
5;Год: 2021;Месяц: 3;День: 30;Евро-российский рубль__CETS;6.298;89,0;88,69;89,27;88,91;89,0471;26660893990.0
9;Год: 2021;Месяц: 3;День: 31;Евро-российский рубль__CETS;6.727;89,0;88,2025;89,0;88,78;88,5502;24919522677.5
13;Год: 2021;Месяц: 4;День: 1;Евро-российский рубль__CETS;7.744;88,78;88,69;90,01;89,825;89,4729;30565096765.0
3;Год: 2021;Месяц: 4;День: 2;Юань-российский рубль__CETS;0.338;11,9399;11,5001;11,9399;11,64;11,5948;695478884.1
